iter	Passed	Remaining
578	650	473
579	651	471
580	652	470
581	652	468
582	653	467
583	654	466
584	654	464
585	655	463
586	657	462
587	658	461
588	659	460
589	660	458
590	661	457
591	662	456
592	663	455
593	663	453
594	664	452
595	665	451
596	666	449
597	667	448
598	668	447
599	669	446
600	669	444
601	670	443
602	671	442
603	673	441
604	674	440
605	676	439
606	677	438
607	678	437
608	679	436
609	681	435
610	682	434
611	683	433
612	685	432
613	686	431
614	687	430
615	688	429
616	689	428
617	691	427
618	692	426
619	694	425
620	695	424
621	696	423
622	697	422
623	698	421
624	700	420
625	701	419
626	702	418
627	704	417
628	705	415
629	705	414
630	706	413
631	707	411
632	708	410
633	709	409
634	710	408
635	710	406
636	712	406
637	731	415
638	732	413
639	733	412
640	734	411
641	735	409
642	735	408
643	736	407
644	737	405
645	738	404
646	739	403
647	739	401
648	740	400
649	741	399
650	741	397
651	742	396
652	744	395
653	745	394
654	745	392
655	746	391
656	747	390
657	748	389
658	749	387
659	749	386
660	750	384
661	753	384
662	754	383
663	755	382
664	755	380
665	756	379
666	757	377
667	762	379
668	764	378
669	765	377
670	767	376
671	769	375
672	771	374
673	772	373
674	774	372
675	775	371
676	777	370
677	779	370
678	780	369
679	782	368
680	783	367
681	785	366
682	787	365
683	789	364
684	790	363
685	792	362
686	794	361
687	796	361
688	797	359
689	798	358
690	799	357
691	800	356
692	800	354
693	801	353
694	803	352
695	804	351
696	806	350
697	807	349
698	809	348
699	810	347
700	812	346
701	819	347
702	821	346
703	822	345
704	823	344
705	824	343
706	825	342
707	826	340
708	827	339
709	828	338
710	828	336
711	829	335
712	830	334
713	831	332
714	831	331
715	832	330
716	833	329
717	834	327
718	835	326
719	835	325
720	836	323
721	837	322
722	838	321
723	838	319
724	839	318
725	843	318
726	844	317
727	845	315
728	846	314
729	846	313
730	847	311
731	848	310
732	848	309
733	849	307
734	850	306
735	851	305
736	851	303
737	853	302
738	854	301
739	855	300
740	856	299
741	857	298
742	858	296
743	858	295
744	859	294
745	860	292
746	861	291
747	861	290
748	862	289
749	863	287
750	863	286
751	864	285
752	865	283
753	866	282
754	866	281
755	867	279
756	868	278
757	868	277
758	869	276
759	870	274
760	871	273
761	871	272
762	872	271
763	873	269
764	874	268
765	874	267
766	875	265
767	876	264
768	876	263
769	877	262
770	878	260
771	878	259
772	879	258
773	880	257
774	881	255
775	881	254
776	882	253
777	883	251
778	884	250
779	885	249
780	886	248
781	888	247
782	889	246
783	890	245
784	891	244
785	893	243
786	894	242
787	895	240
788	896	239
789	898	238
790	899	237
791	900	236
792	901	235
793	903	234
794	904	233
795	905	232
796	906	230
797	908	229
798	909	228
799	910	227
800	911	226
801	913	225
802	914	224
803	916	223
804	917	222
805	918	221
806	919	220
807	921	218
808	922	217
809	923	216
810	924	215
811	925	214
812	926	213
813	927	211
814	928	210
815	929	209
816	929	208
817	930	207
818	931	205
819	932	204
820	933	203
821	934	202
822	934	201
823	935	199
824	936	198
825	937	197
826	938	196
827	939	195
828	940	193
829	941	192
830	942	191
831	942	190
832	943	189
833	944	187
834	945	186
835	945	185
836	946	184
837	947	183
838	947	181
839	948	180
840	949	179
841	950	178
842	950	177
843	951	175
844	952	174
845	953	173
846	954	172
847	955	171
848	956	170
849	957	169
850	958	167
851	959	166
852	960	165
853	960	164
854	961	163
855	962	161
856	962	160
857	963	159
858	964	158
859	964	157
860	965	155
861	966	154
862	967	153
863	967	152
864	968	151
865	969	149
866	969	148
867	972	147
868	972	146
869	973	145
870	974	144
871	975	143
872	975	141
873	976	140
874	977	139
875	977	138
876	978	137
877	979	136
878	980	134
879	981	133
880	982	132
881	983	131
882	984	130
883	984	129
884	985	128
885	986	126
886	999	127
887	1000	126
888	1001	125
889	1003	123
890	1004	122
891	1005	121
892	1006	120
893	1007	119
894	1009	118
895	1010	117
896	1011	116
897	1012	115
898	1013	113
899	1015	112
900	1016	111
901	1017	110
902	1018	109
903	1019	108
904	1021	107
905	1022	106
906	1023	104
907	1024	103
908	1025	102
909	1027	101
910	1028	100
911	1029	99
912	1030	98
913	1032	97
914	1033	95
915	1034	94
916	1035	93
917	1037	92
918	1038	91
919	1039	90
920	1040	89
921	1041	88
922	1043	87
923	1044	85
924	1045	84
925	1045	83
926	1046	82
927	1047	81
928	1050	80
929	1051	79
930	1051	77
931	1052	76
932	1053	75
933	1053	74
934	1054	73
935	1055	72
936	1056	71
937	1056	69
938	1058	68
939	1059	67
940	1060	66
941	1061	65
942	1062	64
943	1063	63
944	1063	61
945	1064	60
946	1065	59
947	1065	58
948	1066	57
949	1067	56
950	1067	55
951	1068	53
952	1069	52
953	1069	51
954	1070	50
955	1071	49
956	1071	48
957	1072	47
958	1073	45
959	1075	44
960	1076	43
961	1076	42
962	1077	41
963	1078	40
964	1078	39
965	1079	38
966	1080	36
967	1081	35
968	1081	34
969	1082	33
970	1083	32
971	1084	31
972	1084	30
973	1085	28
974	1086	27
975	1087	26
976	1088	25
977	1088	24
978	1089	23
979	1090	22
980	1091	21
981	1092	20
982	1093	18
983	1094	17
984	1100	16
985	1109	15
986	1110	14
987	1111	13
988	1112	12
989	1114	11
990	1115	10
991	1116	9
992	1118	7
993	1119	6
994	1120	5
995	1122	4
996	1123	3
997	1124	2
998	1125	1
999	1127	0
